,Ax,Ay,Az,Gx,Gy,Gz,label
1,10.4,-0.16,4.66,-0.69,-0.6,0.6,1
2,10,2.67,7.74,-1.48,-1.05,0.31,1
3,6.39,5.29,2.97,-1.53,-0.04,-0.12,1
4,7.26,4.99,2.86,-0.18,0.36,-0.75,1
5,7.33,4.57,1.52,-0.02,-0.02,0.06,1
6,12.31,3.79,4.75,0.73,0.82,-0.16,1
7,10.26,-0.06,1.34,0.57,0.41,-0.1,1
8,8.72,-1.95,3.13,-0.73,-0.75,0.71,1
9,13.29,2.05,7.81,-1.49,-1.19,-0.12,1
10,8.47,6.19,5.58,-0.9,-0.41,-0.58,1
11,5.1,5.12,0.58,-0.26,0.3,-0.67,1
12,5.96,3.75,-0.22,0.36,-0.15,0.07,1
13,12.13,3.61,7.58,1.26,1.5,-0.08,1
14,12.03,-0.91,3.04,1.28,1.16,0.16,1
15,7.8,-3.49,2.95,-1,0,1.33,1
16,16.24,3.32,8.39,-1.39,-0.4,0.62,1
17,7.57,6.84,4.85,-0.98,-1.63,-1.05,1
18,3.73,4.96,0.85,-0.09,0.33,-0.45,1
19,12.1,7.6,0.15,1.56,0.35,-0.38,1
20,13.93,1.85,5.73,1.61,0.16,-0.53,1
21,9.14,-1.92,5.4,0.42,0.24,0.69,1
22,7.69,-3.92,4.56,-1.14,-0.19,1.84,1
23,15.87,4.68,8.27,-1.4,-0.08,0.83,1
24,5.72,5.05,-0.06,-1.12,-1.23,-1,1
25,2.01,4.53,-0.26,-0.25,-0.43,-0.11,1
26,14.4,9.1,5.47,2.02,2.04,-0.52,1
27,16.46,2.99,5.16,1.7,1.07,-0.59,1
28,8.56,-2.78,2.32,0.72,0.03,0.7,1
29,7.39,-3.56,1.16,-0.4,-0.72,1.63,1
30,8.11,9.17,12.22,-0.45,-1.08,0.85,1
31,5,3.74,-0.23,1.22,0.87,0.59,1
32,4.61,3.02,-0.02,1.49,0.38,0.69,1
33,12.47,8.88,3.18,2.34,1.58,0.21,1
34,11.55,8.84,3.63,1.29,-0.97,-0.58,1
35,7.89,5.46,4.75,2.5,0.48,0.04,1
36,5.24,3.66,3.89,2.32,0.94,0.63,1
