,Ax,Ay,Az,Gx,Gy,Gz,label
1,5.04,9.79,3.42,0.49,0.25,-1.21,0
2,5.26,8.46,4.19,0.48,-0.69,-0.51,0
3,3.61,9.62,3.67,0.04,-1.39,1.0,0
4,2.67,12.44,3.97,-0.84,-0.41,2.05,0
5,2.28,14.69,2.44,-1.66,-0.02,2.23,0
6,0.2,10.3,1.46,-1.4,-0.27,1.45,0
7,0.39,8.53,-0.11,-0.72,-0.38,0.67,0
8,0.84,6.13,-0.18,-0.07,-0.23,-0.07,0
9,0.58,8.23,0.08,0.94,0.63,-1.01,0
10,2.78,12.53,2.9,1.59,0.85,-1.94,0
11,3.13,14.02,4.0,1.22,0.6,-2.07,0
12,5.7,10.22,3.04,0.71,0.54,-1.8,0
13,6.68,8.32,4.81,0.32,-0.37,-0.38,0
14,5.2,10.03,4.67,0.02,-0.85,0.88,0
15,3.6,13.42,4.73,-0.82,-0.47,2.03,0
16,1.24,15.4,2.48,-1.66,0.15,2.71,0
17,1.75,10.51,1.66,-1.11,-0.53,1.14,0
18,0.04,7.64,-0.37,-0.39,-0.22,0.55,0
19,-0.1,6.07,-0.49,0.19,0.31,-0.01,0
20,1.33,8.82,1.43,0.95,0.62,-1.24,0
21,3.6,13.81,3.68,1.47,0.82,-1.72,0
22,4.19,12.77,5.16,1.08,0.52,-2.06,0
23,3.54,9.83,4.38,0.72,0.39,-1.63,0
24,4.3,7.28,3.24,0.26,-0.04,-0.42,0
25,5.35,9.64,4.11,0.15,-0.72,0.12,0
26,4.33,13.68,4.82,-0.39,-1.11,1.43,0
27,0.7,13.95,2.48,-0.9,-0.6,2.54,0
28,1.32,12.42,1.52,-1.42,-0.14,2.56,0
29,0.27,8.37,-0.32,-0.84,-0.13,1.31,0
30,-0.54,6.08,-0.94,-0.23,0.13,0.48,0
31,0.65,7.81,0.31,0.67,0.61,-0.95,0
32,2.49,14.35,2.86,1.64,1.15,-1.82,0
33,3.91,13.69,3.85,1.56,1.25,-2.42,0
34,4.01,11.69,4.95,1.54,0.21,-2.34,0
35,4.28,8.41,3.77,0.41,-0.14,-1.07,0
36,3.81,9.28,4.0,0.08,0.01,0.45,0
37,3.31,12.41,4.28,-0.43,-0.52,1.29,0
38,0.81,13.42,2.8,-0.83,-0.17,1.96,0
39,1.42,12.47,0.96,-1.63,-0.72,2.27,0
40,1.21,9.34,0.16,-1.05,-0.38,1.58,0
41,-0.71,6.94,-0.88,-0.68,-0.2,1.1,0
42,0.77,7.18,-0.01,0.1,0.29,-0.39,0
43,2.27,11.78,2.12,1.05,0.89,-1.23,0
44,3.57,12.8,4.06,1.5,0.59,-1.95,0
45,3.61,11.65,4.53,1.46,0.39,-2.23,0
46,3.79,8.52,4.54,0.49,0.15,-1.46,0
47,4.39,9.27,4.17,0.23,-0.03,-0.52,0
48,4.28,11.08,4.21,-0.12,-0.1,0.72,0
49,1.87,13.1,3.16,-0.28,-0.33,1.89,0
50,1.11,11.98,2.75,-1.54,-1.25,1.99,0
51,2.14,10.51,1.65,-1.44,-0.65,1.41,0
52,0.96,8.39,0.89,-0.91,-0.62,1.24,0
53,0.17,7.81,0.99,-0.42,-0.21,0.24,0
54,1.24,10.08,1.1,0.29,0.36,-0.76,0
55,2.14,11.71,2.22,1.06,1.1,-1.51,0
56,3.36,11.76,2.8,1.47,1.02,-1.76,0
57,3.45,9.56,4.19,1.43,0.83,-1.5,0
58,5.12,9.91,4.91,0.69,0.19,-1.14,0
59,4.84,10.56,5.31,0.28,-0.07,-0.13,0
60,3.52,12.08,3.07,-0.67,-0.2,1.3,0
61,4.26,11.01,3.37,-1.28,-0.94,1.91,0
62,2.75,12.06,2.25,-1.28,-0.66,1.87,0
63,1.94,10.82,1.53,-1.46,-0.45,2.01,0
64,0.68,7.83,0.77,-1.16,-0.32,1.09,0
65,0.82,7.79,-0.64,-0.07,0.35,0.01,0
66,1.93,9.68,2.27,1.11,0.79,-1.38,0
67,2.03,11.92,2.65,1.94,0.98,-1.86,0
68,4.09,11.14,3.2,1.75,0.92,-1.85,0
69,4.92,11.21,4.85,1.18,0.72,-1.44,0
70,4.87,11.41,5.71,0.71,0.58,-0.79,0
71,4.18,11.19,4.74,-0.14,0.24,0.66,0
72,5.04,9.09,3.67,-1.27,-0.85,1.19,0
73,2.96,11.57,3.22,-1.06,-1.03,1.65,0
74,3.06,11.5,3.48,-1.64,-0.56,1.69,0
75,2.98,9.98,0.88,-1.82,-0.7,1.38,0
76,1.27,8.17,0.12,-1.08,-0.32,0.75,0
77,0.31,7.25,0.13,0.06,-0.03,-0.4,0
78,1.21,9.71,0.52,1.05,0.14,-1.57,0
79,4.32,11.24,2.4,1.28,0.23,-2.46,0
80,3.15,12.06,3.7,1.43,0.23,-2.22,0
81,4.73,13.3,3.98,0.96,0.69,-1.72,0
82,5.26,11.9,5.94,0.68,1.38,-0.12,0
